CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1629614,Andrew Nembhard,1610612754,IND,G-F,26,43,43,1,262,507,0.517,0.469,0.048
1631230,Dominick Barlow,1610612755,PHI,F,22,43,43,1,239,503,0.475,0.475,0
1641764,Brandin Podziemski,1610612744,GSW,G,22,55,55,1,240,502,0.478,0.47,0.008
1631101,Shaedon Sharpe,1610612757,POR,G,22,48,48,1,261,500,0.522,0.464,0.058
203084,Harrison Barnes,1610612759,SAS,F,33,54,54,1,236,500,0.472,0.477,-0.005
1628374,Lauri Markkanen,1610612762,UTA,F-C,28,41,41,1,229,498,0.46,0.475,-0.016
1641706,Brandon Miller,1610612766,CHA,F,23,38,38,1,206,494,0.417,0.469,-0.052
1629652,Luguentz Dort,1610612760,OKC,G,26,45,45,1,218,492,0.443,0.466,-0.023
203954,Joel Embiid,1610612755,PHI,C-F,31,31,31,1,225,490,0.459,0.485,-0.026
1642267,Bub Carrington,1610612764,WAS,G,20,53,53,1,236,488,0.484,0.467,0.017
1642264,Stephon Castle,1610612759,SAS,G,21,44,44,1,218,488,0.447,0.47,-0.023
1642345,Oso Ighodaro,1610612756,PHX,F,23,55,55,1,218,485,0.449,0.477,-0.027
1630573,Sam Hauser,1610612738,BOS,F,28,51,51,1,222,484,0.459,0.463,-0.004
201566,Russell Westbrook,1610612758,SAC,G,37,52,52,1,249,483,0.516,0.479,0.037
1630171,Isaac Okoro,1610612741,CHI,F-G,25,45,45,1,221,481,0.459,0.475,-0.016
1628398,Kyle Kuzma,1610612749,MIL,F,30,50,50,1,206,481,0.428,0.471,-0.042
1642274,Yves Missi,1610612740,NOP,C,21,47,47,1,204,480,0.425,0.481,-0.056
1629111,Jock Landale,1610612737,ATL,C,30,49,49,1,245,480,0.51,0.497,0.013
1630249,Vít Krejčí,1610612757,POR,G,25,52,52,1,241,478,0.504,0.457,0.047
1642846,Ace Bailey,1610612762,UTA,F,19,49,49,1,223,477,0.468,0.468,-0.001
1630173,Precious Achiuwa,1610612758,SAC,F,26,47,47,1,223,476,0.468,0.491,-0.022
1629014,Anfernee Simons,1610612741,CHI,G,26,53,53,1,224,472,0.475,0.455,0.02
1628378,Donovan Mitchell,1610612739,CLE,G,29,51,51,1,226,472,0.479,0.465,0.014
1642363,Nique Clifford,1610612758,SAC,G,24,52,52,1,209,471,0.444,0.465,-0.022
1629655,Daniel Gafford,1610612742,DAL,F-C,27,38,38,1,225,469,0.48,0.5,-0.021
1626164,Devin Booker,1610612756,PHX,G,29,43,43,1,205,468,0.438,0.466,-0.028
1630581,Josh Giddey,1610612741,CHI,G,23,34,34,1,214,463,0.462,0.462,0
1629656,Quentin Grimes,1610612755,PHI,G,25,48,48,1,203,461,0.44,0.457,-0.016
201572,Brook Lopez,1610612746,LAC,C,37,47,47,1,200,458,0.437,0.493,-0.057
1629008,Michael Porter Jr.,1610612751,BKN,F,27,41,41,1,226,450,0.502,0.476,0.026
202695,Kawhi Leonard,1610612746,LAC,F,34,41,41,1,231,449,0.514,0.472,0.042
1642268,Isaiah Collier,1610612762,UTA,G,21,48,48,1,237,448,0.529,0.468,0.061
1629060,Rui Hachimura,1610612747,LAL,F,28,44,44,1,235,448,0.525,0.469,0.056
1628989,Kevin Huerter,1610612765,DET,G-F,27,48,48,1,207,445,0.465,0.457,0.009
1642258,Zaccharie Risacher,1610612737,ATL,F,20,42,42,1,216,439,0.492,0.464,0.028
