GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-1626220-1628415-1628960-1631109-1631221-,R. O'Neale - D. Brooks - G. Allen - M. Williams - C. Gillespie,1610612756,PHX,11,4,7,0.364,122.261667,98,230,0.426,42,110,0.382,35,47,0.745,32,65,97,63,33,20,10,12,41,43,273,-49,160,451,13630,7279,35,46,35,7192,23,23,4431,70,56,4827,28,66,47,44,13704,39,58,13696,13696,50,46,13742,366785
Lineups,-201566-201942-203897-1630173-1642875-,R. Westbrook - D. DeRozan - Z. LaVine - P. Achiuwa - M. Raynaud,1610612758,SAC,11,4,7,0.364,122.006667,108,210,0.514,26,62,0.419,44,55,0.8,21,73,94,57,35,17,6,6,40,42,286,-27,160,451,13630,7279,36,41,44,4126,67,80,3958,49,43,3981,62,48,52,55,13710,52,150,13564,13690,53,43,13709,366020
Lineups,-1626157-1628404-1628969-1628973-1630540-,K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,1610612752,NYK,14,10,4,0.714,118.313333,113,214,0.528,39,90,0.433,51,60,0.85,26,69,95,64,25,18,3,6,49,52,316,45,79,39,13171,4835,37,34,39,3993,28,36,3797,30,36,3665,37,57,49,43,13667,48,413,13564,13713,28,34,16,354940
Lineups,-1628983-1629652-1631096-1631114-1641717-,S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams - C. Wallace,1610612760,OKC,12,8,4,0.667,116.868333,121,226,0.535,37,89,0.416,49,55,0.891,15,86,101,67,30,25,15,10,45,45,328,69,123,91,13171,4903,38,29,36,3917,32,40,3987,38,43,3408,115,30,41,40,13692,27,27,13676,13706,45,29,5,350605
Lineups,-203952-1626181-1630558-1641796-1642276-,A. Wiggins - N. Powell - D. Mitchell - P. Larsson - K. Ware,1610612748,MIA,10,7,3,0.7,116.616667,113,236,0.479,36,93,0.387,40,46,0.87,25,74,99,70,30,20,10,14,43,47,302,-25,213,139,12599,4880,39,34,32,6166,36,33,4393,54,60,3541,40,47,43,37,13692,39,58,13715,13700,41,37,13701,349850
Lineups,-1626164-1626220-1628415-1628960-1631109-,D. Booker - R. O'Neale - D. Brooks - G. Allen - M. Williams,1610612756,PHX,15,10,5,0.667,116.211667,99,213,0.465,38,97,0.392,64,71,0.901,24,84,108,52,35,23,12,13,44,55,300,6,59,39,13413,4903,40,45,40,6339,29,30,4370,17,20,3366,47,31,36,67,13710,32,41,13706,13701,26,38,1298,348635
Lineups,-1630180-1630529-1630530-1642847-1642852-,S. Bey - H. Jones - T. Murphy III - J. Fears - D. Queen,1610612740,NOP,15,6,9,0.4,115.811667,111,223,0.498,25,73,0.342,50,60,0.833,30,80,110,68,34,26,7,10,40,50,297,19,59,199,13708,7150,41,38,37,6036,75,58,4698,36,36,3700,30,38,34,38,13706,22,105,13676,13690,33,39,137,347435
Lineups,-203084-1628368-1630577-1641705-1642264-,H. Barnes - D. Fox - J. Champagnie - V. Wembanyama - S. Castle,1610612759,SAS,15,10,5,0.667,115.78,111,212,0.524,49,102,0.48,46,51,0.902,14,78,92,76,26,17,10,13,40,45,317,29,59,39,13413,4903,42,38,42,4055,18,26,3602,42,50,3365,133,41,54,32,13674,52,58,13706,13690,45,33,46,347340
Lineups,-1628976-1630217-1630532-1631094-1641710-,W. Carter Jr. - D. Bane - F. Wagner - P. Banchero - A. Black,1610612753,ORL,15,7,8,0.467,115.175,97,205,0.473,26,75,0.347,53,64,0.828,34,78,112,62,43,17,14,14,57,51,273,-6,59,139,13678,7073,43,48,47,6249,67,57,4683,22,30,3900,24,41,33,47,13723,52,31,13715,13720,30,46,12136,345525
Lineups,-203084-1628368-1628436-1630170-1630577-,H. Barnes - D. Fox - L. Kornet - D. Vassell - J. Champagnie,1610612759,SAS,12,9,3,0.75,113.448333,103,213,0.484,42,96,0.438,39,47,0.83,16,80,96,60,25,18,12,14,40,48,287,18,123,61,12599,4636,44,44,40,6105,23,31,3782,57,56,3898,104,38,48,49,13667,48,41,13715,13690,36,42,159,340345
