PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,NICKNAME,Restricted_Area_FGM,Restricted_Area_FGA,Restricted_Area_FG_PCT,In_The_Paint_Non_RA_FGM,In_The_Paint_Non_RA_FGA,In_The_Paint_Non_RA_FG_PCT,Mid_Range_FGM,Mid_Range_FGA,Mid_Range_FG_PCT,Left_Corner_3_FGM,Left_Corner_3_FGA,Left_Corner_3_FG_PCT,Right_Corner_3_FGM,Right_Corner_3_FGA,Right_Corner_3_FG_PCT,Above_the_Break_3_FGM,Above_the_Break_3_FGA,Above_the_Break_3_FG_PCT,Backcourt_FGM,Backcourt_FGA,Backcourt_FG_PCT,Corner_3_FGM,Corner_3_FGA,Corner_3_FG_PCT
1627739,Kris Dunn,1610612746,LAC,31,Kris,54,74,0.73,46,93,0.495,3,14,0.214,17,34,0.5,11,32,0.344,30,90,0.333,0,0,0,28,66,0.424
1631200,Kris Murray,1610612757,POR,25,Kris,52,81,0.642,6,16,0.375,0,0,0,7,20,0.35,5,27,0.185,8,31,0.258,0,0,0,12,47,0.255
204001,Kristaps Porziņģis,1610612744,GSW,30,Kristaps,26,44,0.591,20,41,0.488,19,39,0.487,3,4,0.75,7,11,0.636,21,71,0.296,0,0,0,10,15,0.667
203937,Kyle Anderson,1610612763,MEM,32,Kyle,25,39,0.641,38,77,0.494,3,3,1,1,1,1,1,2,0.5,1,2,0.5,0,0,0,2,3,0.667
1642271,Kyle Filipowski,1610612762,UTA,22,Kyle,94,135,0.696,56,121,0.463,1,11,0.091,11,38,0.289,13,34,0.382,22,66,0.333,0,0,0,24,72,0.333
1628398,Kyle Kuzma,1610612749,MIL,30,Kyle,131,193,0.679,47,124,0.379,16,36,0.444,6,27,0.222,11,23,0.478,32,102,0.314,0,0,0,17,50,0.34
200768,Kyle Lowry,1610612755,PHI,39,Kyle,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,8,0.25,0,0,0,1,2,0.5
1642273,Kyshawn George,1610612764,WAS,22,Kyshawn,73,108,0.676,34,102,0.333,36,79,0.456,11,30,0.367,10,20,0.5,69,189,0.365,0,0,0,21,50,0.42
1643018,LJ Cryer,1610612744,GSW,24,LJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0.5,0,0,0,0,0,0
1630163,LaMelo Ball,1610612766,CHA,24,LaMelo,76,125,0.608,61,162,0.377,14,50,0.28,16,37,0.432,9,22,0.409,130,368,0.353,0,0,0,25,59,0.424
1642950,Lachlan Olbrich,1610612741,CHI,22,Lachlan,4,10,0.4,3,4,0.75,0,0,0,0,2,0,0,0,0,2,5,0.4,0,0,0,0,2,0
1629013,Landry Shamet,1610612752,NYK,28,Landry,21,34,0.618,3,12,0.25,5,11,0.455,17,32,0.531,17,44,0.386,31,78,0.397,0,0,0,34,76,0.447
1626204,Larry Nance Jr.,1610612739,CLE,33,Larry,17,33,0.515,2,9,0.222,0,2,0,5,11,0.455,6,14,0.429,5,23,0.217,0,0,0,11,25,0.44
1628374,Lauri Markkanen,1610612762,UTA,28,Lauri,153,218,0.702,85,174,0.489,22,76,0.289,19,38,0.5,14,33,0.424,81,243,0.333,0,0,0,33,71,0.465
1643133,Lawson Lovering,1610612763,MEM,22,Lawson,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2544,LeBron James,1610612747,LAL,41,LeBron,158,211,0.749,47,109,0.431,39,101,0.386,3,20,0.15,3,13,0.231,45,134,0.336,0,0,0,6,33,0.182
1631159,Leonard Miller,1610612741,CHI,22,Leonard,15,17,0.882,4,6,0.667,0,0,0,1,6,0.167,0,4,0,0,2,0,0,0,0,1,10,0.1
1642862,Liam McNeeley,1610612766,CHA,20,Liam,7,11,0.636,5,19,0.263,0,0,0,5,11,0.455,3,11,0.273,14,36,0.389,0,0,0,8,22,0.364
1630322,Lindy Waters III,1610612759,SAS,28,Lindy,1,3,0.333,0,1,0,3,3,1,4,6,0.667,3,9,0.333,8,32,0.25,0,0,0,7,15,0.467
1628366,Lonzo Ball,1610612739,CLE,28,Lonzo,10,18,0.556,2,6,0.333,1,5,0.2,5,23,0.217,2,8,0.25,33,116,0.284,0,0,0,7,31,0.226
1629652,Luguentz Dort,1610612760,OKC,26,Luguentz,29,44,0.659,16,39,0.41,7,18,0.389,14,32,0.438,6,27,0.222,66,187,0.353,0,0,0,20,59,0.339
1629029,Luka Dončić,1610612747,LAL,26,Luka,86,103,0.835,130,233,0.558,72,155,0.465,3,17,0.176,3,8,0.375,143,407,0.351,0,0,0,6,25,0.24
1630568,Luka Garza,1610612738,BOS,27,Luka,69,98,0.704,23,38,0.605,3,9,0.333,0,4,0,3,9,0.333,29,60,0.483,0,0,0,3,13,0.231
1628379,Luke Kennard,1610612747,LAL,29,Luke,23,38,0.605,22,38,0.579,20,28,0.714,16,28,0.571,16,32,0.5,47,100,0.47,0,0,0,32,60,0.533
