PLAYER_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,AGE,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
1631260,AJ Green,1610612749,MIL,26,63,63,1,201,479,0.42,0.604,0.098,24,47,0.511,0.902,177,432,0.41
1628386,Jarrett Allen,1610612739,CLE,27,51,51,1,305,478,0.638,0.639,0.979,304,468,0.65,0.021,1,10,0.1
1641709,Ausar Thompson,1610612765,DET,23,59,58,1,246,477,0.516,0.522,0.954,240,455,0.527,0.046,6,22,0.273
1628989,Kevin Huerter,1610612765,DET,27,57,57,1,211,477,0.442,0.524,0.442,133,211,0.63,0.558,78,266,0.293
1630583,Santi Aldama,1610612763,MEM,25,43,43,1,228,476,0.479,0.553,0.58,158,276,0.572,0.42,70,200,0.35
1642363,Nique Clifford,1610612758,SAC,24,65,62,1,192,472,0.407,0.47,0.602,132,284,0.465,0.398,60,188,0.319
1630692,Jordan Goodwin,1610612756,PHX,27,58,58,1,193,467,0.413,0.509,0.467,104,218,0.477,0.533,89,249,0.357
1642258,Zaccharie Risacher,1610612737,ATL,20,54,54,1,205,466,0.44,0.525,0.521,126,243,0.519,0.479,79,223,0.354
1630598,Aaron Wiggins,1610612760,OKC,27,54,54,1,199,464,0.429,0.517,0.494,117,229,0.511,0.506,82,235,0.349
1630198,Isaiah Joe,1610612760,OKC,26,60,60,1,206,463,0.445,0.604,0.227,59,105,0.562,0.773,147,358,0.411
203114,Khris Middleton,1610612742,DAL,34,51,51,1,199,462,0.431,0.489,0.662,145,306,0.474,0.338,54,156,0.346
202710,Jimmy Butler III,1610612744,GSW,36,38,38,1,240,461,0.521,0.555,0.816,208,376,0.553,0.184,32,85,0.376
1626162,Kelly Oubre Jr.,1610612755,PHI,30,41,41,1,212,458,0.463,0.544,0.552,138,253,0.545,0.448,74,205,0.361
1629652,Luguentz Dort,1610612760,OKC,26,58,58,1,171,457,0.374,0.491,0.291,64,133,0.481,0.709,107,324,0.33
1631222,Jake LaRavia,1610612747,LAL,24,68,67,1,208,455,0.457,0.532,0.527,140,240,0.583,0.473,68,215,0.316
1627826,Ivica Zubac,1610612754,IND,28,46,46,1,276,454,0.608,0.608,1,276,454,0.608,0,0,0,NA
1630173,Precious Achiuwa,1610612758,SAC,26,61,60,1,242,452,0.535,0.563,0.832,217,376,0.577,0.168,25,76,0.329
1642856,Egor Dëmin,1610612751,BKN,20,52,52,1,179,449,0.399,0.537,0.283,55,127,0.433,0.717,124,322,0.385
203903,Jordan Clarkson,1610612752,NYK,33,59,57,1,198,448,0.442,0.519,0.545,129,244,0.529,0.455,69,204,0.338
1641842,Ronald Holland II,1610612765,DET,20,64,61,1,194,448,0.433,0.475,0.627,156,281,0.555,0.373,38,167,0.228
203935,Marcus Smart,1610612747,LAL,32,57,57,1,181,448,0.404,0.509,0.386,87,173,0.503,0.614,94,275,0.342
1630174,Aaron Nesmith,1610612754,IND,26,39,39,1,177,446,0.397,0.496,0.457,89,204,0.436,0.543,88,242,0.364
1630560,Cam Thomas,1610612749,MIL,24,40,40,1,182,445,0.409,0.466,0.631,131,281,0.466,0.369,51,164,0.311
1641796,Pelle Larsson,1610612748,MIA,25,58,57,1,218,443,0.492,0.552,0.641,165,284,0.581,0.359,53,159,0.333
1630200,Tre Jones,1610612741,CHI,26,51,51,1,238,437,0.545,0.578,0.785,209,343,0.609,0.215,29,94,0.309
1630249,Vít Krejčí,1610612757,POR,25,64,63,1,191,427,0.447,0.597,0.234,63,100,0.63,0.766,128,327,0.391
1630532,Franz Wagner,1610612753,ORL,24,28,28,1,204,426,0.479,0.528,0.732,162,312,0.519,0.268,42,114,0.368
1642366,Quinten Post,1610612744,GSW,25,64,59,1,188,426,0.441,0.547,0.369,98,157,0.624,0.631,90,269,0.335
1630558,Davion Mitchell,1610612748,MIA,27,58,58,1,204,425,0.48,0.564,0.595,133,253,0.526,0.405,71,172,0.413
1628971,Bruce Brown,1610612743,DEN,29,68,68,1,197,425,0.464,0.514,0.727,154,309,0.498,0.273,43,116,0.371
1642860,Will Riley,1610612764,WAS,20,60,57,1,186,424,0.439,0.506,0.601,129,255,0.506,0.399,57,169,0.337
1631106,Tari Eason,1610612745,HOU,24,45,44,1,179,424,0.422,0.509,0.542,105,230,0.457,0.458,74,194,0.381
1641731,Bilal Coulibaly,1610612764,WAS,21,47,47,1,176,423,0.416,0.478,0.598,124,253,0.49,0.402,52,170,0.306
1631323,Simone Fontecchio,1610612748,MIA,30,61,60,1,166,421,0.394,0.519,0.302,61,127,0.48,0.698,105,294,0.357
1629674,Neemias Queta,1610612738,BOS,26,64,64,1,266,417,0.638,0.638,0.986,266,411,0.647,0.014,0,6,0
1642874,Danny Wolf,1610612751,BKN,21,54,52,1,169,416,0.406,0.484,0.517,104,215,0.484,0.483,65,201,0.323
1631109,Mark Williams,1610612756,PHX,24,56,56,1,261,412,0.633,0.635,0.998,260,411,0.633,0.002,1,1,1
1627739,Kris Dunn,1610612746,LAC,32,68,68,1,200,411,0.487,0.569,0.56,132,230,0.574,0.44,68,181,0.376
1642347,Jamal Shead,1610612761,TOR,23,67,66,1,153,411,0.372,0.459,0.47,82,193,0.425,0.53,71,218,0.326
201572,Brook Lopez,1610612746,LAC,37,61,60,1,168,404,0.416,0.525,0.386,80,156,0.513,0.614,88,248,0.355
203110,Draymond Green,1610612744,GSW,36,55,54,1,166,404,0.411,0.514,0.374,83,151,0.55,0.626,83,253,0.328
204456,T.J. McConnell,1610612754,IND,33,49,49,1,211,402,0.525,0.541,0.893,198,359,0.552,0.107,13,43,0.302
1629001,De'Anthony Melton,1610612744,GSW,27,37,37,1,169,400,0.423,0.49,0.545,115,218,0.528,0.455,54,182,0.297
1630529,Herbert Jones,1610612740,NOP,27,46,46,1,153,399,0.383,0.461,0.471,91,188,0.484,0.529,62,211,0.294
1630188,Jalen Smith,1610612741,CHI,26,50,50,1,186,391,0.476,0.574,0.46,109,180,0.606,0.54,77,211,0.365
